Name,oldest_sequence,newest_sequence,number_taxa
UK203,2020-05-04,2020-05-06,2
UK5,2020-04-10,2020-05-14,19
UK36,2020-04-15,2020-04-15,1
UK5329,2020-04-12,2020-04-12,1
UK226,2020-04-22,2020-05-05,2
UK5330,2020-05-03,2020-05-03,1
UK7,2020-04-14,2020-04-14,1
UK5331,2020-05-04,2020-05-04,1
UK1020,2020-04-12,2020-04-12,1
UK688,2020-04-23,2020-04-23,1
UK5310,2020-05-07,2020-05-07,1
UK5325,2020-05-09,2020-05-10,2
UK2009,2020-04-10,2020-04-10,1
UK1212,2020-04-09,2020-04-09,1
UK5675,2020-03-28,2020-04-04,3
UK1213,2020-04-02,2020-04-07,2
UK1214,2020-04-07,2020-04-07,1
UK1215,2020-04-11,2020-04-11,1
UK4,2020-04-11,2020-04-11,1
UK5127,2020-04-06,2020-04-06,1
UK334,2020-04-07,2020-04-07,1
UK1216,2020-04-10,2020-04-10,1
UK1217,2020-04-04,2020-04-04,1
UK1218,2020-04-08,2020-04-08,1
UK1219,2020-04-09,2020-04-09,1
UK1220,2020-04-09,2020-04-09,1
UK214,2020-04-03,2020-04-03,1
UK5175,2020-04-02,2020-04-02,1
UK1221,2020-03-26,2020-03-26,1
UK456,2020-04-30,2020-04-30,1
UK209,2020-03-22,2020-03-22,1
UK11,2020-03-21,2020-03-21,1
UK2024,2020-04-03,2020-04-03,1
UK495,2020-04-29,2020-04-29,1
UK62,2020-04-02,2020-04-02,1
UK51,2020-03-31,2020-04-03,2
UK1542,2020-03-23,2020-03-23,1
UK3168,2020-03-25,2020-03-25,1
UK3169,2020-03-27,2020-03-27,1
UK3170,2020-03-29,2020-03-29,1
UK3171,2020-03-30,2020-03-30,1
UK14,2020-03-24,2020-03-24,1
UK312,2020-03-23,2020-03-23,1
UK3172,2020-03-30,2020-03-30,1
UK4461,2020-03-20,2020-03-20,1
UK3173,2020-03-25,2020-03-25,1
UK3174,2020-03-24,2020-03-24,1
UK3175,2020-03-31,2020-03-31,1
