Name,oldest_sequence,newest_sequence,number_taxa
UK1177,2020-04-22,2020-06-09,25
UK5,2020-03-02,2020-06-24,874
UK98,2020-06-08,2020-06-08,1
UK51,2020-03-25,2020-06-20,32
UK2464,2020-03-28,2020-06-06,9
UK362,2020-05-14,2020-05-14,1
UK5309,2020-05-30,2020-06-18,4
UK5741,2020-03-24,2020-05-13,18
UK319,2020-03-28,2020-06-03,76
UK77,2020-05-05,2020-05-05,1
UK6,2020-03-22,2020-06-16,17
UK1207,2020-03-25,2020-06-01,2
UK23,2020-03-23,2020-05-02,18
UK107,2020-03-05,2020-05-03,66
UK1210,2020-04-23,2020-05-10,4
UK42,2020-03-20,2020-06-03,30
UK3049,2020-04-27,2020-05-10,2
UK486,2020-05-10,2020-05-10,1
UK66,2020-03-21,2020-03-21,1
UK336,2020-03-18,2020-03-19,2
UK344,2020-03-25,2020-03-25,1
UK339,2020-03-18,2020-04-09,13
UK55,2020-03-30,2020-05-06,2
UK72,2020-03-01,2020-04-03,12
UK384,2020-03-15,2020-04-02,18
UK494,2020-03-19,2020-03-19,1
UK109,2020-03-27,2020-05-10,6
UK199,2020-03-24,2020-04-12,13
UK240,2020-03-20,2020-04-27,24
UK601,2020-03-22,2020-04-29,10
UK534,2020-04-28,2020-04-28,1
UK501,2020-03-23,2020-04-29,15
UK5676,2020-03-21,2020-04-18,8
UK527,2020-04-01,2020-04-18,2
UK31,2020-04-19,2020-04-19,1
UK401,2020-04-19,2020-04-20,2
UK828,2020-05-01,2020-05-01,1
UK167,2020-03-24,2020-04-16,17
UK351,2020-04-14,2020-04-14,1
UK2916,2020-03-03,2020-04-23,22
UK607,2020-03-08,2020-04-21,15
UK1703,2020-04-02,2020-04-22,2
UK81,2020-04-21,2020-04-21,1
UK1291,2020-04-20,2020-04-20,1
UK512,2020-04-23,2020-04-23,1
UK274,2020-03-26,2020-05-03,2
UK5498,2020-03-25,2020-04-20,4
UK2735,2020-03-24,2020-04-21,10
UK12,2020-03-26,2020-04-22,8
UK5084,2020-03-29,2020-04-16,6
UK1721,2020-03-19,2020-04-13,4
UK28,2020-03-31,2020-03-31,1
UK4495,2020-04-16,2020-04-16,1
UK464,2020-03-25,2020-04-09,3
UK5098,2020-03-23,2020-04-11,2
UK259,2020-04-21,2020-04-21,1
UK131,2020-03-20,2020-04-10,15
UK429,2020-04-03,2020-04-03,1
UK4,2020-03-07,2020-04-02,7
UK146,2020-03-24,2020-03-24,1
UK403,2020-03-25,2020-04-01,3
UK116,2020-03-24,2020-04-02,6
UK329,2020-03-26,2020-03-26,1
UK365,2020-03-21,2020-04-09,2
UK409,2020-04-09,2020-04-09,1
UK1622,2020-04-11,2020-04-11,1
UK24,2020-03-21,2020-04-10,19
UK75,2020-03-30,2020-04-09,4
UK5561,2020-03-06,2020-04-06,10
UK15,2020-03-02,2020-03-31,6
UK376,2020-04-09,2020-04-09,1
UK135,2020-03-24,2020-03-24,1
UK173,2020-03-22,2020-03-30,6
UK333,2020-03-25,2020-03-25,2
UK596,2020-03-26,2020-03-26,1
UK706,2020-03-26,2020-04-03,2
UK613,2020-03-23,2020-03-26,2
UK101,2020-03-24,2020-03-26,3
UK752,2020-03-24,2020-03-24,1
UK3020,2020-03-25,2020-03-25,1
UK64,2020-03-25,2020-03-25,1
UK267,2020-03-26,2020-03-26,1
UK96,2020-03-26,2020-03-26,1
UK5228,2020-04-13,2020-04-13,1
UK395,2020-03-25,2020-03-25,1
UK86,2020-03-23,2020-03-23,1
UK581,2020-04-15,2020-04-15,1
UK317,2020-03-21,2020-03-24,2
UK27,2020-04-15,2020-04-15,1
UK517,2020-03-24,2020-03-24,1
UK231,2020-03-22,2020-03-22,1
UK1723,2020-04-05,2020-04-05,1
UK5592,2020-04-01,2020-04-01,1
UK612,2020-04-01,2020-04-01,1
UK9,2020-04-05,2020-04-05,1
UK567,2020-04-01,2020-04-01,1
UK254,2020-04-03,2020-04-03,1
UK407,2020-03-31,2020-03-31,1
UK347,2020-03-27,2020-03-27,1
UK4073,2020-04-03,2020-04-03,1
UK1294,2020-04-04,2020-04-04,1
UK560,2020-04-03,2020-04-03,1
UK829,2020-04-05,2020-04-05,1
UK153,2020-03-29,2020-03-29,1
UK158,2020-03-29,2020-03-30,2
UK213,2020-04-05,2020-04-05,1
UK120,2020-03-02,2020-03-25,3
UK2906,2020-03-08,2020-03-08,1
UK642,2020-04-02,2020-04-02,1
UK605,2020-03-27,2020-04-01,4
UK215,2020-03-24,2020-03-25,2
UK780,2020-03-16,2020-03-16,1
UK893,2020-03-27,2020-03-28,2
UK668,2020-03-28,2020-03-28,1
UK22,2020-03-25,2020-03-25,1
UK269,2020-03-25,2020-03-25,1
UK4232,2020-03-20,2020-03-20,1
UK323,2020-03-30,2020-03-30,1
UK4472,2020-03-22,2020-03-22,1
UK47,2020-03-17,2020-03-23,2
UK2202,2020-03-25,2020-03-25,1
UK89,2020-03-25,2020-03-25,1
UK5665,2020-03-25,2020-03-25,1
