UK_lineage,taxon
UK5550,England/LIVE-9E5BD/2020
UK5603,England/LIVE-9EEFE/2020
UK3556,England/LIVE-9E80F/2020
UK5685,England/LIVE-9DFB0/2020
UK5576,England/LIVE-9E605/2020
UK5594,England/LIVE-9DF38/2020
UK5651,England/LIVE-9EBBB/2020
UK292,England/LIVE-9E82D/2020
UK5652,England/LIVE-9D6E8/2020
UK5686,England/LIVE-9E27A/2020
UK5548,England/LIVE-9EC12/2020
UK5595,England/LIVE-9DEB3/2020
UK5727,England/LIVE-9EA63/2020
UK5552,England/LIVE-9E720/2020
UK5687,England/LIVE-9D606/2020
UK5653,England/LIVE-9E948/2020
UK148,England/LIVE-9E9A2/2020
UK5654,England/LIVE-9EF28/2020
UK5655,England/LIVE-9E3D1/2020
UK5656,England/LIVE-9E32C/2020
UK5596,England/LIVE-9EABE/2020
UK5657,England/LIVE-9E007/2020
UK371,England/LIVE-9E9EE/2020
UK5597,England/LIVE-9DEA4/2020
UK5688,England/LIVE-9E0BC/2020
UK5682,England/LIVE-9E553/2020
UK5546,England/LIVE-9D484/2020
UK5658,England/LIVE-9E34A/2020
UK5553,England/LIVE-9E18C/2020
UK507,England/LIVE-9D6D9/2020
UK5683,England/LIVE-9D67F/2020
UK5554,England/LIVE-9F0D9/2020
UK5689,England/LIVE-9E0E9/2020
UK5663,England/LIVE-9F394/2020
UK3766,England/LIVE-9F3C1/2020
UK7,England/LIVE-9F23D/2020
UK2103,England/LIVE-9A593/2020
UK3113,England/LIVE-9BF58/2020
UK4663,England/LIVE-9C528/2020
UK3114,England/LIVE-9A645/2020
UK4515,England/LIVE-9AD04/2020
UK3115,England/LIVE-9B27D/2020
UK2794,England/LIVE-9BF67/2020
UK3116,England/LIVE-9C634/2020
UK295,England/LIVE-9C7C8/2020
UK693,England/LIVE-9A5B1/2020
UK2104,England/LIVE-9C300/2020
UK2105,England/LIVE-9AD9B/2020
UK4521,England/LIVE-9A478/2020
UK1330,England/LIVE-9B204/2020
UK526,England/LIVE-9B608/2020
UK3117,England/LIVE-9AC8F/2020
UK3118,England/LIVE-9AB55/2020
UK4475,England/LIVE-9C555/2020
UK3119,England/LIVE-9BF94/2020
UK5743,England/LIVE-9B495/2020
UK104,England/LIVE-9C6E9/2020
UK1088,England/LIVE-9C573/2020
UK2546,England/LIVE-9AEE3/2020
UK1083,England/LIVE-9C519/2020
UK23,England/LIVE-9C8D4/2020
UK2106,England/LIVE-9C8C5/2020
UK4522,England/LIVE-9C34C/2020
UK3211,England/LIVE-9DB52/2020
UK2137,England/LIVE-9DC40/2020
UK1546,England/LIVE-9D949/2020
UK399,England/LIVE-9DADD/2020
UK1615,England/LIVE-9CB80/2020
UK2807,England/LIVE-9CC50/2020
UK3350,England/LIVE-9CA38/2020
UK1559,England/LIVE-9B83F/2020
UK3372,England/LIVE-9B95A/2020
UK62,England/LIVE-9BE2E/2020
UK112,England/LIVE-9BD6D/2020
UK3375,England/LIVE-9BC33/2020
UK5712,England/LIVE-9BD9A/2020
UK2549,England/LIVE-9B626/2020
UK3365,England/LIVE-9B7AB/2020
UK3367,England/LIVE-9BA1B/2020
UK353,England/LIVE-9BBDC/2020
UK2808,England/LIVE-9BBEB/2020
UK3368,England/LIVE-9BA48/2020
UK1564,England/LIVE-9A144/2020
UK1077,England/LIVE-9A0CF/2020
UK2219,England/LIVE-9A0DE/2020
UK3451,England/LIVE-9A135/2020
UK1078,England/LIVE-9A083/2020
UK5730,England/LIVE-9A2D8/2020
UK570,England/LIVE-9A399/2020
UK3437,England/LIVE-9A29C/2020
UK2788,England/LIVE-9A00B/2020
UK3,England/LIVE-99F5A/2020
UK2981,England/LIVE-99AD1/2020
UK3554,England/LIVE-99A3B/2020
UK525,England/LIVE-99AFF/2020
UK4403,England/LIVE-99B65/2020
UK2687,England/LIVE-99A77/2020
UK3664,England/LIVE-9985F/2020
UK214,England/LIVE-99743/2020
UK2994,England/LIVE-99761/2020
UK3369,England/LIVE-99831/2020
UK3665,England/LIVE-99752/2020
UK3650,England/LIVE-9996B/2020
UK147,England/LIVE-9993E/2020
UK3832,England/LIVE-994B5/2020
UK2557,England/LIVE-991CD/2020
UK3833,England/LIVE-99039/2020
UK3834,England/LIVE-990EE/2020
UK2333,England/LIVE-994F1/2020
UK5164,England/LIVE-9943D/2020
UK2957,England/LIVE-992BB/2020
UK2334,England/LIVE-995B2/2020
UK1584,England/LIVE-99646/2020
UK1904,England/LIVE-99725/2020
UK37,England/LIVE-99716/2020
UK674,England/LIVE-98FD3/2020
UK2705,England/LIVE-9939A/2020
UK5163,England/LIVE-98FA6/2020
UK2640,England/LIVE-992AC/2020
UK3829,England/LIVE-99233/2020
UK155,England/LIVE-98F4C/2020
UK3830,England/LIVE-9901B/2020
UK3831,England/LIVE-990DF/2020
