Lineage,Days,England,Scotland,Wales,Northern Ireland
UK2464,2020-03-22,1,0,0,0
UK2464,2020-03-30,2,0,0,0
UK2464,2020-03-30,2,0,0,0
UK2464,2020-03-31,2,0,0,0
UK2464,2020-03-31,2,0,0,0
UK2464,2020-04-24,2,0,0,0
UK2464,2020-04-24,2,0,0,0
UK2464,2020-04-25,1,0,0,0
UK2464,2020-04-27,3,0,0,0
UK2464,2020-04-27,3,0,0,0
UK2464,2020-04-27,3,0,0,0
UK2464,2020-04-30,2,0,0,0
UK2464,2020-04-30,2,0,0,0
UK2464,2020-05-01,3,0,0,0
UK2464,2020-05-01,3,0,0,0
UK2464,2020-05-01,3,0,0,0
UK2464,2020-05-25,1,0,0,0
UK2906,2020-03-21,1,0,0,0
UK2906,2020-03-30,2,0,0,0
UK2906,2020-03-30,2,0,0,0
UK2906,2020-05-12,8,0,0,0
UK2906,2020-05-12,8,0,0,0
UK2906,2020-05-12,8,0,0,0
UK2906,2020-05-12,8,0,0,0
UK2906,2020-05-12,8,0,0,0
UK2906,2020-05-12,8,0,0,0
UK2906,2020-05-12,8,0,0,0
UK2906,2020-05-12,8,0,0,0
UK2906,2020-05-15,1,0,0,0
UK2906,2020-05-22,1,0,0,0
UK2906,2020-06-02,1,0,0,0
UK370,2020-04-26,2,0,0,0
UK370,2020-04-26,2,0,0,0
UK370,2020-04-27,2,0,0,0
UK370,2020-04-27,2,0,0,0
UK370,2020-05-06,4,0,0,0
UK370,2020-05-06,4,0,0,0
UK370,2020-05-06,4,0,0,0
UK370,2020-05-06,4,0,0,0
UK370,2020-05-08,1,0,0,0
UK370,2020-06-02,1,0,0,0
UK5,2020-03-24,1,0,0,0
UK5,2020-03-30,1,0,0,0
UK5,2020-03-31,1,0,0,0
UK5,2020-04-17,1,0,0,0
UK5,2020-04-21,2,0,0,0
UK5,2020-04-21,2,0,0,0
UK5,2020-04-22,1,0,0,0
UK5,2020-04-23,9,0,0,0
UK5,2020-04-23,9,0,0,0
UK5,2020-04-23,9,0,0,0
UK5,2020-04-23,9,0,0,0
UK5,2020-04-23,9,0,0,0
UK5,2020-04-23,9,0,0,0
UK5,2020-04-23,9,0,0,0
UK5,2020-04-23,9,0,0,0
UK5,2020-04-23,9,0,0,0
UK5,2020-04-24,1,0,0,0
UK5,2020-04-27,1,0,0,0
UK5,2020-04-28,6,0,0,0
UK5,2020-04-28,6,0,0,0
UK5,2020-04-28,6,0,0,0
UK5,2020-04-28,6,0,0,0
UK5,2020-04-28,6,0,0,0
UK5,2020-04-28,6,0,0,0
UK5,2020-04-29,1,0,0,0
UK5,2020-05-01,3,0,0,0
UK5,2020-05-01,3,0,0,0
UK5,2020-05-01,3,0,0,0
UK5,2020-05-02,1,0,0,0
UK5,2020-05-03,1,0,0,0
UK5,2020-05-05,1,0,0,0
UK5,2020-05-06,1,0,0,0
UK5,2020-05-07,1,0,0,0
UK5,2020-05-14,1,0,0,0
UK5,2020-06-08,1,0,0,0
