Name,oldest_sequence,newest_sequence,number_taxa
UK5,2020-03-21,2020-06-16,315
UK5300,2020-04-17,2020-06-16,16
UK186,2020-04-08,2020-06-09,15
UK632,2020-03-23,2020-06-10,12
UK652,2020-06-12,2020-06-12,1
UK233,2020-05-25,2020-06-15,21
UK531,2020-06-08,2020-06-08,1
UK36,2020-03-29,2020-06-03,31
UK202,2020-04-02,2020-06-04,6
UK501,2020-03-24,2020-06-02,21
UK109,2020-04-03,2020-06-04,15
UK268,2020-05-25,2020-06-03,4
UK269,2020-04-05,2020-06-02,5
UK2916,2020-04-03,2020-06-01,4
UK447,2020-05-27,2020-05-27,1
UK72,2020-04-01,2020-05-27,5
UK108,2020-05-26,2020-05-26,1
UK42,2020-03-23,2020-05-26,25
UK15,2020-04-13,2020-04-22,6
UK2735,2020-04-09,2020-04-18,5
UK479,2020-05-01,2020-05-13,3
UK107,2020-04-03,2020-04-12,4
UK684,2020-04-11,2020-04-25,3
UK274,2020-03-23,2020-04-15,13
UK777,2020-04-01,2020-04-14,6
UK40,2020-03-31,2020-04-20,6
UK5180,2020-03-27,2020-04-19,9
UK199,2020-03-29,2020-04-27,6
UK647,2020-04-11,2020-04-11,1
UK494,2020-04-03,2020-04-09,4
UK491,2020-03-20,2020-04-03,2
UK553,2020-04-08,2020-04-08,1
UK3027,2020-04-11,2020-04-11,1
UK86,2020-03-27,2020-04-10,4
UK601,2020-03-25,2020-05-04,4
UK390,2020-03-29,2020-05-01,6
UK5676,2020-04-03,2020-04-08,2
UK9,2020-03-30,2020-04-02,3
UK371,2020-04-11,2020-04-11,1
UK315,2020-04-04,2020-04-14,3
UK5561,2020-03-29,2020-04-11,3
UK829,2020-04-03,2020-04-03,2
UK527,2020-04-03,2020-04-14,3
UK812,2020-04-03,2020-04-03,1
UK19,2020-04-16,2020-04-16,1
UK1207,2020-03-23,2020-04-19,9
UK2023,2020-04-10,2020-04-10,1
UK69,2020-04-02,2020-04-03,2
UK2464,2020-05-03,2020-05-03,1
UK490,2020-04-03,2020-05-02,6
UK179,2020-05-01,2020-05-01,1
UK736,2020-03-25,2020-03-25,1
UK307,2020-03-21,2020-03-21,1
UK131,2020-03-24,2020-04-14,7
UK505,2020-03-26,2020-04-13,5
UK532,2020-03-29,2020-03-29,1
UK167,2020-03-28,2020-03-30,2
UK693,2020-03-25,2020-03-25,1
UK404,2020-03-24,2020-03-24,1
UK4,2020-03-26,2020-04-08,4
UK539,2020-03-24,2020-03-29,2
UK526,2020-03-25,2020-03-25,1
UK4475,2020-03-23,2020-03-23,1
UK5322,2020-04-01,2020-04-01,1
UK2906,2020-03-31,2020-03-31,1
UK3120,2020-03-30,2020-03-30,1
UK1083,2020-03-21,2020-03-21,1
UK49,2020-03-24,2020-03-24,1
UK804,2020-03-31,2020-03-31,1
UK6,2020-04-09,2020-04-27,5
UK246,2020-04-18,2020-04-28,2
UK398,2020-04-29,2020-04-29,1
UK832,2020-04-14,2020-04-26,6
UK245,2020-04-25,2020-04-25,1
UK27,2020-04-14,2020-04-26,3
UK1615,2020-04-25,2020-04-25,1
UK2200,2020-04-09,2020-04-17,5
UK31,2020-04-18,2020-04-18,1
UK2913,2020-04-20,2020-04-20,1
UK570,2020-04-16,2020-04-16,1
UK5647,2020-04-15,2020-04-15,1
UK75,2020-04-12,2020-04-12,1
UK567,2020-04-08,2020-04-13,3
UK46,2020-04-09,2020-04-13,2
UK600,2020-04-08,2020-04-09,3
UK448,2020-04-08,2020-04-08,1
UK281,2020-04-09,2020-04-09,1
UK37,2020-04-09,2020-04-09,1
UK384,2020-04-07,2020-04-08,2
UK660,2020-04-07,2020-04-07,1
UK389,2020-04-07,2020-04-07,1
